Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Rank,Gen0,Gen1,Allocated
TesteComListaContains,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"3,141,521.6 μs","8,232.29 μs","7,700.49 μs",4,0.0000,0.0000,0 B
TesteComListaContainsParallel,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"596,536.5 μs","11,663.00 μs","18,498.76 μs",3,0.0000,0.0000,147456 B
TesteComHashSet,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,672.8 μs,2.83 μs,2.64 μs,1,0.0000,0.0000,0 B
TesteComHashSetParallel,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"2,260.4 μs",32.68 μs,28.97 μs,2,3.9063,3.9063,33926 B
